tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
10,0,-0.749362202,195.12,0,0,0,0,57.5,0,0,-57.5,0,0,-48
10,0,-24.92363259,194.9810583,0,0,0,0,57.50841019,0.056067955,0,-57.5,0,0,-48
10,0,-40.31708795,194.6333754,0,0,0,0,58.97466851,9.775055474,0,-57.5,0,0,-48
10,0,-48.87426737,194.1806643,0,0,0,0,64.32527304,35.67069683,0,-57.5,0,0,-48
10,0,-51.61581335,193.7266383,0,0,0,0,71.7592109,49.55958572,0,-57.5,0,0,-48
10,0,-48.87426737,193.3750105,0,0,0,0,79.04295257,48.55827786,0,-57.5,0,0,-48
10,0,-40.31708795,193.2294939,0,0,0,0,83.61787571,30.4994876,0,-57.5,0,0,-48
10,0,-24.92363259,193.3938019,0,0,0,0,84.52568138,6.052037795,0,-57.5,0,0,-48
10,0,-0.936702753,193.9716474,0,0,0,0,75,0,0,-65,0,0,-48
10,0,-0.936702753,193.9716474,0,0,0,0,65,0,0,-75,0,0,-48
10,0,-0.936702753,193.9716474,0,0,0,0,62,0,0,-79,0,0,-48
10,0,0.936702753,195.12,0,0,0,0,60,0,0,-80,0,0,-48
10,0,24.92363259,194.9810583,0,0,0,0,57.5,0,0,-79.99327185,0.056067955,0,-48
10,0,40.31708795,194.6333754,0,0,0,0,57.5,0,0,-78.82026519,9.775055474,0,-48
10,0,48.87426737,194.1806643,0,0,0,0,57.5,0,0,-74.53978157,35.67069683,0,-48
10,0,51.61581335,193.7266383,0,0,0,0,57.5,0,0,-68.59263128,49.55958572,0,-48
10,0,48.87426737,193.3750105,0,0,0,0,57.5,0,0,-62.76563794,48.55827786,0,-48
10,0,40.31708795,193.2294939,0,0,0,0,57.5,0,0,-59.10569943,30.4994876,0,-48
10,0,24.92363259,193.3938019,0,0,0,0,57.5,0,0,-58.37945489,6.052037795,0,-48
10,0,0.936702753,193.9716474,0,0,0,0,57.5,0,0,-58.37945489,0,0,-48
