tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
10,0,0.936702753,195.12,0,0.1,0,0,60,0,0,-60,0,0,-48
10,-2,20,194.9810583,0,0.1,0,0,60,0,0.1,-60,0.056067955,0,-48
10,-3,35,194.6333754,0,0.15,0,0,60,0,3,-60,9.775055474,0,-48
10,-4,43,194.1806643,0,0.2,0,0,60,0,6,-60,35.67069683,0,-48
10,-7,45,193.7266383,0,0.3,0,0,60,0,9,-60,49.55958572,0,-48
10,-9,43,193.3750105,0,0.45,0,0,60,0,12,-65,48.55827786,0,-48
10,-11,35,193.2294939,0,0.61,0,0,60,0,12.2,-65,30.4994876,0,-48
10,-12,20,193.3938019,0,0.61,0.1,0,60,0,12.3,-65,6.052037795,0,-48
10,-15,0.936702753,193.9716474,0,0.61,0.1,0,60,0,12.3,-65,0,0,-48
10,-15,-0.843032477,193.9716474,0,0.61,0.1,0,60,0,0,-60,0,0,-48
10,-15,-20,193.3938019,0,0.61,0.1,0,60,0.056067955,0,-60,0,0,-48
10,-15,-35,193.2294939,0,0.61,0.1,0,60,9.775055474,0,-60,0,0,-48
10,-15,-50,193.3750105,0,0.45,0.1,0,60,35.67069683,0,-60,0,0,-48
10,-15,-55,193.7266383,0,0.45,0.1,0,60,49.55958572,0,-60,0,0,-48
10,-15,-50,194.1806643,0,0.45,0,0,60,48.55827786,0,-60,0,0,-48
10,-15,-40,194.6333754,0,0.3,0,0,60,30.4994876,0,-60,0,0,-48
10,-15,-30,194.9810583,0,0.15,0,0,60,6.052037795,0,-60,0,0,-48
10,-13,-20,195.12,0,0.15,0,0,60,0,0,-60,0,0,-48
10,-10,-5,195.12,0,0.15,0,0,60,0,0,-60,0,0,-48
10,-6,-2,195.12,0,0,0,0,60,0,0,-60,0,0,-48
10,-3,-0.843032477,195.12,0,0,0,0,60,0,0,-60,0,0,-48
