tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
10,0,-0.843032477,193.9716474,0,0.1,0,0,60,0,0,-60,0,0,-48
10,-2,-22.43126933,193.3938019,0,0.1,0,0.1,60,0.056067955,0,-60,0,0,-48
10,-3,-36.28537915,193.2294939,0,0.15,0,0.9,60,9.775055474,0,-60,0,0,-48
10,-4,-43.98684063,193.3750105,0,0.2,0,2,60,35.67069683,0,-60,0,0,-48
10,-7,-46.45423201,193.7266383,0,0.3,0,3,60,49.55958572,0,-60,0,0,-48
10,-9,-43.98684063,194.1806643,0,0.45,0,3.1,65,48.55827786,0,-60,0,0,-48
10,-13,-36.28537915,194.6333754,0,0.55,0,3.2,65,30.4994876,0,-60,0,0,-48
10,-15,-22.43126933,194.9810583,0,0.61,-0.1,3.3,65,6.052037795,0,-60,0,0,-48
10,-16,-0.843032477,195.12,0,0.61,-0.1,3.3,65,0,0,-60,0,0,-48
10,-20,0.936702753,195.12,0,0.61,-0.1,0,65,0,0,-60,0,0,-48
10,-20,24.92363259,194.9810583,0,0.61,-0.1,0,65,0,6,-60,0.056067955,0,-48
10,-20,40.31708795,194.6333754,0,0.61,-0.1,0,65,0,6,-60,9.775055474,0,-48
10,-17,48.87426737,194.1806643,0,0.45,0,0,60,0,6,-60,35.67069683,0,-48
10,-15,51.61581335,193.7266383,0,0.45,0,0,60,0,6,-60,49.55958572,0,-48
10,-15,48.87426737,193.3750105,0,0.45,0,0,60,0,7.9,-60,48.55827786,0,-48
10,-15,40.31708795,193.2294939,0,0.45,0,0,60,0,8.3,-60,30.4994876,0,-48
10,-15,24.92363259,193.3938019,0,0.45,0,0,60,0,8.5,-60,6.052037795,0,-48
10,-13,0.936702753,193.9716474,0,0.45,0,0,60,0,0,-60,0,0,-48
10,-10,0.936702753,193.9716474,0,0.3,0,0,60,0,0,-60,0,0,-48
10,-6,0.936702753,193.9716474,0,0.15,0,0,60,0,0,-60,0,0,-48
10,-3,0.936702753,193.9716474,0,0.1,0,0,60,0,0,-60,0,0,-48
