tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
10,3.47E-15,-0.936702753,193.9716474,0,0,0,-40,57.5,0,0,-57.5,0,0,-48
10,6.858241846,-24.92363259,194.5566606,0,0,0,-39.98873504,57.5,0.056067955,0,-57.5,0,0,-48
10,12.06420081,-40.31708795,194.8384538,0,0,0,-37.69324458,57.5,9.775055474,0,-57.5,0,0,-48
10,16.26814833,-48.87426737,194.9642872,0,0,0,-27.5200936,57.5,35.67069683,0,-57.5,0,0,-48
10,20,-51.61581335,195,0,0,0,-8.79918016,57.5,49.55958572,0,-57.5,0,0,-48
10,23.73185167,-48.87426737,194.9642872,0,0,0,13.03286439,57.5,48.55827786,0,-57.5,0,0,-48
10,27.93579919,-40.31708795,194.8384538,0,0,0,30.31673953,57.5,30.4994876,0,-57.5,0,0,-48
10,33.14175815,-24.92363259,194.5566606,0,0,0,38.64246967,57.5,6.052037795,0,-57.5,0,0,-48
10,40,-0.936702753,193.9716474,0,0,0,40,57.5,0,0,-57.5,0,0,-48
10,3.47E-15,0.936702753,193.9716474,0,0,0,0,57.5,0,-40,-57.5,0,0,-48
10,6.858241846,24.92363259,194.5566606,0,0,0,0,57.5,0,-39.98873504,-57.5,0.056067955,0,-48
10,12.06420081,40.31708795,194.8384538,0,0,0,0,57.5,0,-37.69324458,-57.5,9.775055474,0,-48
10,16.26814833,48.87426737,194.9642872,0,0,0,0,57.5,0,-27.5200936,-57.5,35.67069683,0,-48
10,20,51.61581335,195,0,0,0,0,57.5,0,-8.79918016,-57.5,49.55958572,0,-48
10,23.73185167,48.87426737,194.9642872,0,0,0,0,57.5,0,13.03286439,-57.5,48.55827786,0,-48
10,27.93579919,40.31708795,194.8384538,0,0,0,0,57.5,0,30.31673953,-57.5,30.4994876,0,-48
10,33.14175815,24.92363259,194.5566606,0,0,0,0,57.5,0,38.64246967,-57.5,6.052037795,0,-48
10,40,0.936702753,193.9716474,0,0,0,0,57.5,0,40,-57.5,0,0,-48
