tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz
50,0,0.936702753,195.12,0,0,0,0,57.5,0,0,-57.5,0
50,2,24.92363259,194.9810583,0,0,0,0,57.5,0,0,-57.50841019,0.056067955
50,2,40.31708795,194.6333754,0,0,0,0,57.5,0,0,-58.97466851,9.775055474
50,2,48.87426737,194.1806643,0,0,0,0,57.5,0,0,-64.32527304,35.67069683
50,2,51.61581335,193.7266383,0,0,0,0,57.5,0,0,-71.7592109,49.55958572
50,2,48.87426737,193.3750105,0,0,0,0,57.5,0,0,-79.04295258,48.55827786
50,2,40.31708795,193.2294939,0,0,0,0,57.5,0,0,-83.61787572,30.4994876
50,2,24.92363259,193.3938019,0,0,0,0,57.5,0,0,-84.52568139,6.052037795
50,2,0.936702753,193.9716474,0,0,0,0,57.5,0,0,-84.52568139,0
50,2,-0.843032477,193.9716474,0,0,0,0,65,0,0,-57.5,0
50,2,-0.843032477,193.9716474,0,0,0,0,75,0,0,-57.5,0
50,2,-0.843032477,193.9716474,0,0,0,0,79,0,0,-57.5,0
50,2,-0.936702753,193.9716474,0,0,0,0,80,0,0,-57.5,0
50,2,-24.92363259,193.3938019,0,0,0,0,79.99158981,0.056067955,0,-57.5,0
50,2,-40.31708795,193.2294939,0,0,0,0,78.52533149,9.775055474,0,-57.5,0
50,2,-48.87426737,193.3750105,0,0,0,0,73.17472696,35.67069683,0,-57.5,0
50,2,-51.61581335,193.7266383,0,0,0,0,65.7407891,49.55958572,0,-57.5,0
50,2,-48.87426737,194.1806643,0,0,0,0,58.45704742,48.55827786,0,-57.5,0
50,2,-40.31708795,194.6333754,0,0,0,0,58,30.4994876,0,-57.5,0
50,2,-24.92363259,194.9810583,0,0,0,0,58,6.052037795,0,-57.5,0
50,0,-0.936702753,195.12,0,0,0,0,58,0,0,-57.5,0
