gx,gy,gz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz
0,0.936702753,195.12,0,0,0,0,57.5,0,0,-57.5,0
10,24.92363259,194.9810583,0.104666667,0,0,0,57.50056068,0,-0.002803398,-57.51121359,0.056067955
10,40.31708795,194.6333754,0.104666667,0,0,0,57.59831123,0,-0.491556171,-59.46622469,9.775055474
10,48.87426737,194.1806643,0.104666667,0,0,0,57.9550182,0,-2.275091013,-66.60036405,35.67069683
10,51.61581335,193.7266383,0.104666667,0,0,0,58.45061406,0,-4.753070299,-76.51228119,49.55958572
10,48.87426737,193.3750105,0.104666667,0,0,0,58.93619684,0,-7.180984192,-86.22393677,48.55827786
10,40.31708795,193.2294939,0.104666667,0,0,0,59.24119171,0,-8.705958572,-92.32383429,30.4994876
10,24.92363259,193.3938019,0.104666667,0,0,0,59.30171209,0,-9.008560461,-93.53424185,6.052037795
10,0.936702753,193.9716474,0.104666667,0,0,0,59.30171209,0,-9.008560461,-93.53424185,0
10,-26.93670275,195.12,0.104666667,0,0,0,59.30171209,0,0,-93.53424185,0
10,-50.92363259,194.9810583,0.104666667,0,0,-0.002803398,59.2933019,0.056067955,0,-93.53424185,0
10,-66.31708795,194.6333754,0.104666667,0,0,-0.491556171,57.82704358,9.775055474,0,-93.53424185,0
10,-74.87426737,194.1806643,0.104666667,0,0,-2.275091013,52.47643905,35.67069683,0,-93.53424185,0
10,-77.61581335,193.7266383,0.104666667,0,0,-4.753070299,45.0425012,49.55958572,0,-93.53424185,0
10,-74.87426737,193.3750105,0.104666667,0,0,-7.180984192,37.75875952,48.55827786,0,-93.53424185,0
10,-66.31708795,193.2294939,0.104666667,0,0,-8.705958572,33.18383638,30.4994876,0,-93.53424185,0
10,-50.92363259,193.3938019,0.104666667,0,0,-9.008560461,32.27603071,6.052037795,0,-93.53424185,0
0,-26.93670275,193.9716474,0,0,0,-9.008560461,32.27603071,0,0,-93.53424185,0
